m_x,r,T,rho,P,l,X,Y,He3,C12,N14,O16,T6,n_e,m_y,X 7Be,pp,B8,N13,O15,F17,Be7,pep,hep
5e-06,0.00359,15500000.0,150.0,2.34e+17,4e-05,0.36487,0.62,8.92e-06,7.8e-06,0.00374,0.00607,15.472243902439024,2.011,1.8948780487804875e-06,1.58e-11,1.2265853658536583e-05,0.00014943902439024388,8.898780487804877e-05,0.00012365853658536584,0.00013617073170731707,6.022682926829267e-05,1.92e-05,5.26170731707317e-06
5.1e-06,0.00363,15500000.0,150.0,2.34e+17,4e-05,0.36488,0.62,8.92e-06,7.8e-06,0.00374,0.00607,15.472146341463414,2.011,1.9329268292682926e-06,1.58e-11,1.2519512195121951e-05,0.00015246341463414633,9.079268292682926e-05,0.0001261951219512195,0.00013890243902439024,6.14560975609756e-05,1.96e-05,5.369024390243903e-06
5.2e-06,0.00366,15500000.0,150.0,2.34e+17,4e-05,0.36489,0.61999,8.92e-06,7.8e-06,0.00374,0.00607,15.472073170731706,2.011,1.9614634146341463e-06,1.58e-11,1.2709756097560975e-05,0.00015473170731707315,9.214634146341463e-05,0.00012809756097560975,0.00014095121951219512,6.237804878048779e-05,1.99e-05,5.449512195121951e-06
5.4e-06,0.00369,15500000.0,150.0,2.34e+17,5e-05,0.36489,0.61998,8.92e-06,7.8e-06,0.00374,0.00607,15.472,2.011,1.99e-06,1.58e-11,1.29e-05,0.000157,9.35e-05,0.00013,0.000143,6.33e-05,2.02e-05,5.53e-06
5.5e-06,0.00373,15500000.0,150.0,2.34e+17,5e-05,0.3649,0.61997,8.92e-06,7.8e-06,0.00374,0.00607,15.47190243902439,2.011,2.0329268292682925e-06,1.5790243902439026e-11,1.3182926829268291e-05,0.00016031707317073167,9.549999999999998e-05,0.00013273170731707313,0.00014612195121951218,6.466585365853656e-05,2.0629268292682923e-05,5.649999999999999e-06
5.6e-06,0.00375,15500000.0,150.0,2.34e+17,5e-05,0.36491,0.61997,8.92e-06,7.8e-06,0.00374,0.00607,15.471853658536585,2.011,2.0543902439024387e-06,1.5785365853658536e-11,1.3324390243902438e-05,0.00016197560975609752,9.649999999999999e-05,0.00013409756097560973,0.00014768292682926828,6.534878048780486e-05,2.0843902439024387e-05,5.7099999999999995e-06
5.7e-06,0.00378,15500000.0,150.0,2.34e+17,5e-05,0.36491,0.61996,8.92e-06,7.8e-06,0.00374,0.00607,15.471780487804878,2.011,2.0865853658536582e-06,1.5778048780487805e-11,1.3536585365853658e-05,0.00016446341463414633,9.799999999999998e-05,0.0001361463414634146,0.00015002439024390242,6.63731707317073e-05,2.1165853658536585e-05,5.7999999999999995e-06
5.9e-06,0.0038,15500000.0,150.0,2.34e+17,5e-05,0.36492,0.61996,8.92e-06,7.8e-06,0.00374,0.00607,15.471731707317073,2.011,2.1080487804878045e-06,1.5773170731707318e-11,1.3678048780487804e-05,0.00016612195121951218,9.9e-05,0.00013751219512195118,0.00015158536585365852,6.705609756097559e-05,2.1380487804878046e-05,5.86e-06
6e-06,0.00382,15500000.0,150.0,2.34e+17,5e-05,0.36492,0.61995,8.92e-06,7.8e-06,0.00374,0.00607,15.471682926829269,2.011,2.129512195121951e-06,1.5768292682926828e-11,1.381951219512195e-05,0.00016778048780487803,9.999999999999999e-05,0.00013887804878048778,0.00015314634146341462,6.773902439024389e-05,2.159512195121951e-05,5.92e-06
6.1e-06,0.00385,15500000.0,150.0,2.34e+17,5e-05,0.36493,0.61995,8.92e-06,7.8e-06,0.00374,0.00607,15.47160975609756,2.011,2.1617073170731707e-06,1.5760975609756098e-11,1.4031707317073171e-05,0.00017026829268292683,0.0001015,0.00014092682926829266,0.00015548780487804878,6.876341463414633e-05,2.1917073170731708e-05,6.01e-06
