r,l,log10(n_eN_A),m,nu B8,nu Be7,nu F17,nu hep,nu N13,nu O15,nu pep,nu pp,P,rho,T,X_7Be,X_C12,X_H,X_He3,X_He4,X_N14,X_N16
0.087083363,0.340792853,1.869476863,0.0530168,0.001790162,0.003782989,0.0021332,0.002252388,0.001751651,0.002433031,0.003746026,0.003206123,1.53E+17,96.99153356,13488788.24,3.79E-12,5.90E-06,0.524936892,3.51E-05,0.460205435,0.003714354,0.006332433
0.088065816,0.348580453,1.866765956,0.054607935,0.001687568,0.003696295,0.002027944,0.002281438,0.001674405,0.002325525,0.003744182,0.003222004,1.52E+17,96.23223041,13451939.73,3.67E-12,5.87E-06,0.527500109,3.59E-05,0.45766634,0.003710052,0.006332124
0.089048268,0.356387468,1.864040155,0.056222452,0.001589444,0.003609427,0.001926364,0.002309847,0.001599382,0.002221113,0.003740552,0.003236497,1.51E+17,95.47665957,13414945.92,3.55E-12,5.83E-06,0.530053309,3.68E-05,0.455135602,0.003709062,0.006331759
0.090030721,0.364210641,1.861299635,0.057860215,0.00149572,0.003522524,0.001828451,0.002337584,0.001526602,0.00211983,0.003735164,0.003249601,1.49E+17,94.72488676,13377812.27,3.44E-12,5.80E-06,0.532595592,3.76E-05,0.452613803,0.00370959,0.006331341
0.091013173,0.37204674,1.858544571,0.059521084,0.001406312,0.003435721,0.001734184,0.002364616,0.00145608,0.002021701,0.003728046,0.003261317,1.48E+17,93.97697291,13340544.18,3.33E-12,5.77E-06,0.535126054,3.85E-05,0.450101516,0.003710282,0.006330871
0.091995626,0.379892564,1.855775128,0.061204914,0.001321131,0.003349146,0.001643534,0.002390915,0.001387822,0.001926739,0.003719228,0.003271648,1.47E+17,93.23297422,13303147.01,3.21E-12,5.73E-06,0.537643793,3.94E-05,0.447599297,0.003710548,0.006330352
0.092978078,0.387744944,1.852991468,0.062911556,0.001240075,0.003262919,0.00155646,0.002416454,0.001321826,0.001834947,0.003708742,0.003280597,1.45E+17,92.49294246,13265626.1,3.11E-12,5.70E-06,0.540147908,4.04E-05,0.445107691,0.00371033,0.006329788
0.093960531,0.395600756,1.850193745,0.064640854,0.001163037,0.003177156,0.001472914,0.002441212,0.001258086,0.001746316,0.003696621,0.003288172,1.44E+17,91.75692505,13227986.74,3.00E-12,5.66E-06,0.542637495,4.13E-05,0.442627231,0.003709891,0.006329179
0.094942983,0.403456923,1.84738211,0.066392648,0.001089903,0.003091964,0.001392839,0.002465169,0.001196587,0.001660833,0.003682901,0.003294377,1.43E+17,91.02496528,13190234.18,2.90E-12,5.63E-06,0.545111658,4.23E-05,0.440158436,0.003709584,0.006328529
0.095925435,0.411310422,1.844556707,0.068166775,0.001020555,0.003007446,0.001316172,0.00248831,0.00113731,0.001578473,0.003667619,0.003299224,1.42E+17,90.29710247,13152373.63,2.80E-12,5.59E-06,0.547569782,4.33E-05,0.437701814,0.003709646,0.00632784
0.096907888,0.419158291,1.841717674,0.069963065,0.00095487,0.002923698,0.001242845,0.002510625,0.001080232,0.001499205,0.003650811,0.003302721,1.40E+17,89.57337212,13114410.25,2.70E-12,5.56E-06,0.550011706,4.43E-05,0.435257857,0.003710058,0.006327112
0.09789034,0.426997632,1.838865146,0.071781346,0.000892721,0.002840809,0.001172783,0.002532108,0.001025325,0.001422991,0.003632519,0.003304882,1.39E+17,88.85380609,13076349.17,2.61E-12,5.52E-06,0.552437314,4.54E-05,0.432827048,0.003710534,0.006326346
